"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Studienbeihilfenbehörde","Studienbeihilfenbehörde","Bildung","Behörde","Gudrunstraße 179",1100,"Österreich","dsb@stbh.gv.at","+431601730","+43160173200","23.08.2020"
2,"BIFIE","Bundesinstitut für Bildungsforschung, Innovation & Entwicklung des österreichischen Schulwesens","Bildung","Behörde","Alpenstraße 121",5020,"Österreich","office@bifie.at","+43662620088","+436626200881900","23.08.2020"
3,"ÖSZ","Österreichisches Sprachen-Kompetenz-Zentrum","Bildung","Dienstleister","Hans-Sachs-Gasse 3/I",8010,"Österreich","office@oesz.at","+43316824150","+433168241506","23.08.2020"
4,"KUG","Universität für Musik und darstellende Kunst Graz","Bildung","Universität","Leonhardstraße 15",8010,"Österreich","info@kug.ac.at","'+433163890","+433163891101","23.08.2020"
5,"UFG","Universität für künstlerische und industrielle Gestaltung Linz","Bildung","Universität","Hauptplatz 6",4020,"Österreich","datenschutz@ufg.at","'+437327898","'+43732783508","23.08.2020"
6,"AK Bild","Akademie der bildenden Künste Wien","Bildung","Universität","Schillerplatz 3",1010,"Österreich","datenschutz@akbild.ac.at","'+431588160",,"23.08.2020"
7,"Die Angewandte","Universität für angewandte Kunst Wien","Bildung","Universität","Oskar-Kokoschka-Platz 2",1010,"Österreich","info@uni-ak.ac.at","'+431711332160",,"23.08.2020"
8,"MedUni Graz","Medizinische Universität Graz","Bildung","Universität","Auenbruggerplatz 2",8036,"Österreich","office.datenschutz@medunigraz.at","'+433163850",,"23.08.2020"
9,"Medizinische Universität Innsbruck","Medizinische Universität Innsbruck","Bildung","Universität","Christoph Probst Platz 1, Innrain 52",6020,"Österreich","i-master@i-med.ac.at","'+4351290030",,"23.08.2020"
10,"MedUni Wien","Medizinische Universität Wien","Bildung","Universität","Spitalgasse 23",1090,"Österreich","buero-universitaetsleitung@meduniwien.ac.at","‘+431401600","‘+43140160910000","23.08.2020"
11,"MDW","Universität für Musik und darstellende Kunst Wien","Bildung","Universität","Anton-von-Webern-Platz 1",1030,"Österreich","datenschutz@mdw.ac.at","'+43171155","+43171155199","23.08.2020"
12,"TU Graz","Technische Universität Graz","Bildung","Universität","Rechbauerstraße 12",8010,"Österreich","info@tugraz.at","'+433168730","'+433168736009","23.08.2020"
13,"TU Wien","Technische Universität Wien","Bildung","Universität","Karlsplatz 13",1040,"Österreich","datenschutz@tuwien.ac.at","'+431588010","'+4315880141275","23.08.2020"
14,"BOKU","Universität für Bodenkultur Wien","Bildung","Universität","Gregor-Mendel-Straße 33",1180,"Österreich","datenschutz@boku.ac.at","'+431476540",,"23.08.2020"
15,"KFU","Karl-Franzens-Universität Graz","Bildung","Universität","Universitätsplatz 3",8010,"Österreich","info@uni-graz.at","'+433163800","'+433163809030","23.08.2020"
16,"UIBK","Leopold-Franzens-Universität Innsbruck","Bildung","Universität","Innrain 52",6020,"Österreich","datenschutzbeauftragter@uibk.ac.at","'+435125070",,"23.08.2020"
17,"AAU","Alpen-Adria-Universität Klagenfurt","Bildung","Universität","Universitätsstraße 65-67",9020,"Österreich","uni@aau.at","'+434632700",,"23.08.2020"
18,"Donau Uni","Universität für Weiterbildung Krems","Bildung","Universität","Dr.-Karl-Dorrek-Straße 30",3500,"Österreich","info@donau-uni.ac.at","'+4327328930","'+4327328934000","23.08.2020"
19,"Uni Leoben","Montanuniversität Leoben","Bildung","Universität","Franz-Josef-Straße 18",8700,"Österreich","office@unileoben.ac.at","'+4338424027001","'+4338424027012","23.08.2020"
20,"JKU","Johannes Kepler Universität Linz","Bildung","Universität","Altenberger Straße 69",4040,"Österreich","datenschutz@jku.at","'+4373224680","+4373224684929","23.08.2020"
21,"MOZ","Universität Mozarteum Salzburg","Bildung","Universität","Mirabellplatz 1",5020,"Österreich","info@moz.ac.at","'+4366261980","'+4366261983033","23.08.2020"
22,"Uni Salzburg","Paris-Lodron-Universität Salzburg","Bildung","Universität","Kapitelgasse 4",5020,"Österreich","datenschutz@sbg.ac.at","'+4366280440","'+436628044145","24.08.2020"
23,"Uni Wien","Universität Wien","Bildung","Universität","Universitätsring 1",1010,"Österreich","dsba@univie.ac.at","'+43142770",,"24.08.2020"
24,"Vetmeduni Vienna","Veterinärmedizinische Universität Wien","Bildung","Universität","Veterinärplatz 1",1210,"Österreich","datenschutz@vetmeduni.ac.at","'+431250771097","+431250771090","24.08.2020"
25,"WU Wien","Wirtschaftsuniversität Wien","Bildung","Universität","Welthandelsplatz 1, AD",1020,"Österreich","datenschutz@wu.ac.at","'+431313360",,"24.08.2020"
26,"Bertha von Suttner Privatuniversität","Bertha von Suttner Privatuniversität St. Pölten GmbH","Bildung","Privatuniversität","Matthias Corvinus-Straße 15",3100,"Österreich","office@suttneruni.at","'+432742313228800",,"24.08.2020"
27,"CEU","Central European University ","Bildung","Privatuniversität","Quellenstraße 51-55",1100,"Österreich","communications_office@ceu.edu","+3613273000",,"24.08.2020"
28,"DPU","Danube Private University GmbH","Bildung","Privatuniversität","Steiner Landstraße 124",3500,"Österreich","info@dp-uni.ac.at","'+43676842419305",,"24.08.2020"
29,"GMPU","Gustav Mahler Privatuniversität für Musik","Bildung","Privatuniversität","Mießtalerstraße 8",9020,"Österreich","info@gmpu.ac.at","'+435053616552",,"24.08.2020"
30,"Jam Music Lab","JAM MUSIC LAB GmbH","Bildung","Privatuniversität","Guglgasse 12, Gasometer C 37-37",1110,"Österreich","office@jammusiclab.com","'+4319466846",,"24.08.2020"
31,"KL","Karl Landsteiner Privatuniversität für Gesundheitswissenschaften GmbH","Bildung","Privatuniversität","Dr.-Karl-Dorrek-Straße 30",3500,"Österreich","office@kl.ac.at","'+432732720900","+43273272090500","24.08.2020"
32,"PMU","Paracelsus Medizinische Privatuniversität Salzburg – Privatstiftung","Bildung","Privatuniversität","Strubergasse 21",5020,"Österreich","datenschutz@pmu.ac.at","'+4366224200","+43662242080009","24.08.2020"
33,"UMIT Tirol","UMIT Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik GmbH","Bildung","Privatuniversität","Eduard-Wallnöfer-Zentrum 1",6060,"Österreich","rektorat@umit.at","'+435086483000","+43508648673001","24.08.2020"
34,"Bruckner Uni","Anton Bruckner Privatuniversität","Bildung","Privatuniversität","Hagenstraße 57",4040,"Österreich","information@bruckneruni.at","'+43732701000","'+43732701000299","24.08.2020"
35,"KU Linz","Katholische Privat-Universität Linz","Bildung","Privatuniversität","Bethlehemstraße 20",4020,"Österreich","office@ku-linz.at","'+43732784293","'+437327842934155","24.08.2020"
36,"NDU","New Design University Privatuniversität GesmbH","Bildung","Privatuniversität","Mariazeller Straße 97a",3100,"Österreich","office@ndu.ac.at","'+4327428902411","'+4327428902413","24.08.2020"
37,"Uni Seeburg","Privatuniversität Schloss Seeburg GmbH","Bildung","Privatuniversität","Seeburgstraße 8",5201,"Österreich","info@uni-seeburg.at","'+43621226260",,"24.08.2020"
