"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Homepage","Tel","Fax","Datenquelle","Pruefung"
1,"Bundeskammer der ZiviltechnikerInnen","Bundeskammer der ZiviltechnikerInnen","Interessensvertretung","Kammer","Karlsgasse 9/2",1040,"office@arching.at","https://www.arching.at/","+4315055807","+4315053211","Kontakt","16.10.2021"
2,"Kammer der Steuerberater und Wirtschaftsprüfer","Kammer der Steuerberater und Wirtschaftsprüfer","Interessensvertretung","Kammer","Am Belvedere 10 / Top 4",1100,"office@ksw.or.at","https://www.ksw.or.at/","+431811730","+43181173-100","Impressum","16.10.2021"
3,"Arbeiterkammer","Kammer für Arbeiter und Angestellte für Wien als Büro der Bundesarbeitskammer","Interessensvertretung","Kammer","Prinz-Eugen-Straße 20-22",1040,"akmailbox@akwien.at","https://www.arbeiterkammer.at/","+431501650",,"Impressum","16.10.2021"
4,"Apothekerkammer","Österreichische Apothekerkammer","Interessensvertretung","Kammer","Spitalgasse 31",1090,"info@apotheker.or.at","https://www.apotheker.or.at/","+43140414100","+4314088440","Impressum","16.10.2021"
5,"Ärztekammer","Österreichische Ärztekammer","Interessensvertretung","Kammer","Weihburggasse 10-12",1010,"post@aerztekammer.at","https://www.aerztekammer.at/","+431514063000","+431514063042","Impressum","16.10.2021"
6,"Notariatskammer","Österreichische Notariatskammer","Interessensvertretung","Kammer","Landesgerichtsstraße 20",1010,"kammer@notar.or.at","https://www.notar.at/","+43140245090","'+4314024509100","Impressum","16.10.2021"
7,"Patentanwaltskammer","Österreichische Patentanwaltskammer","Interessensvertretung","Kammer","Linke Wienzeile 4/1/9",1060,"office@oepak.at","https://www.oepak.at/","+4315234382","+438109554103327","Impressum","16.10.2021"
8,"Tierärztekammer","Österreichische Tierärztekammer","Interessensvertretung","Kammer","Hietzinger Kai 87",1130,"oe@tieraerztekammer.at","https://www.tieraerztekammer.at/","+4315121766","+4315121470","Impressum","16.10.2021"
9,"Zahnärztekammer","Österreichische Zahnärztekammer","Interessensvertretung","Kammer","Kohlmarkt 11/6",1010,"office@zahnaerztekammer.at","https://www.zahnaerztekammer.at/","+4350511","+43505111167","Impressum","16.10.2021"
10,"Österreichischer Landarbeiterkammertag","Österreichischer Landarbeiterkammertag","Interessensvertretung","Kammer","Marco d´Avianogasse 1/1",1015,"oelakt@landarbeiterkammer.at","https://www.landarbeiterkammer.at/","+4315122331","+431512233170","Impressum","16.10.2021"
11,"Österreichischer Rechtsanwaltskammertag","Österreichischer Rechtsanwaltskammertag","Interessensvertretung","Kammer","Wollzeile 1-3",1010,"rechtsanwaelte@oerak.at","https://www.rechtsanwaelte.at/","+43153512750","+431535127513","Impressum","16.10.2021"
12,"Wirtschaftskammer","Wirtschaftskammer Österreich","Interessensvertretung","Kammer","Wiedner Hauptstraße 63",1045,,"https://www.wko.at/","+43590900","+43590900250","Kontakt","16.10.2021"
