"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion für Kärnten","Bildungsdirektion für Kärnten","Bildung","Behörde","10. -Oktober-Straße 24",9020,"Österreich","office@bildung-ktn.gv.at","+4350534","+435053411111","19.08.2020"
2,"Landespolizeidirektion Kärnten","Landespolizeidirektion Kärnten","Infrastruktur","Polizei","Buchengasse 3",9020,"Österreich","LPD-K@polizei.gv.at","+4359133200","+4359133201009","19.08.2020"
3,"Wirtschaftskammer Kärnten","Wirtschaftskammer Kärnten","Interessensvertretung","Kammer","Europaplatz 1",9021,"Österreich","wirtschaftskammer@wkk.or.at","+435909040","+43590904704","18.08.2020"
4,"Rechtanswaltskammer Kärnten","Rechtanswaltskammer Kärnten","Interessensvertretung","Kammer","Theatergasse 4",9020,"Österreich","kammer@rechtsanwaelte-kaernten.at","+43463512425","+4346351242515","18.08.2020"
5,"Landeszahnärztekammer Kärnten","Landeszahnärztekammer Kärnten","Interessensvertretung","Kammer","Neuer Platz 7/1",9020,"Österreich","office@ktn.zahnaerztekammer.at","+43505119020","+43505119023","18.08.2020"
6,"Ärztekammer Kärnten","Ärztekammer Kärnten","Interessensvertretung","Kammer","St. Veiter Straße 34/II",9020,"Österreich","aek@aekktn.at","+46358560","+463514222","18.08.2020"
7,"Apothekerkammer Kärnten","Apothekerkammer Kärnten","Interessensvertretung","Kammer","Alter Platz 24/II",9020,"Österreich","kaernten@apothekerkammer.at","+43463513366","+4346351336620","18.08.2020"
8,"Arbeiterkammer Kärnten","Kammer für Arbeiter und Angestellte für Kärnten","Interessensvertretung","Kammer","Bahnhofplatz 3",9021,"Österreich","arbeiterkammer@akktn.at","+4350477","'+4350477-2400","18.08.2020"
9,"Kammer der Steuerberater und Wirtschaftsprüfer Kärnten","Kammer der Steuerberater und Wirtschaftsprüfer Kärnten","Interessensvertretung","Kammer","Lakeside B11 a, 1. OG",9020,"Österreich","kaernten@ksw.or.at","+43463512944","+434635129445","18.08.2020"
10,"Kammer der ZiviltechnikerInnen für Steiermark und Kärnten","Kammer der ZiviltechnikerInnen für Steiermark und Kärnten","Interessensvertretung","Kammer","Schönaugasse 7/1",8010,"Österreich","office@ztkammer.at","+43316826344","+4331682634425","18.08.2020"
11,"Landarbeiterkammer Kärnten","Landarbeiterkammer Kärnten","Interessensvertretung","Kammer","Bahnhofstrasse 44/III",9020,"Österreich","lak@lakktn.at","+434635870419","+434635870420","18.08.2020"
12,"Notariatskammer für Kärnten","Notariatskammer für Kärnten","Interessensvertretung","Kammer","Lakeside B 11 a",9020,"Österreich","office@ktn-notare.at","+43463512797","+434635127974","18.08.2020"
13,"KFA der Beamten der Stadt Villach","Krankenfürsorgeanstalt der Beamten der Stadt Villach","Gesundheit","Krankenfürsorgeanstalt","Rathausplatz 1","9500","Österreich","kfa@villach.at","'+4342422051919",,"20.08.2020"
14,"GSZ","Gemeinde-Servicezentrum","Gesundheit","Dienstleister","Gabelsbergerstraße 5",9020,"Österreich","gsz@ktn.gde.at","+4346355111300","+4346355111222","20.08.2020"
15,"AAU","Alpen-Adria-Universität Klagenfurt","Bildung","Universität","Universitätsstraße 65-67",9020,"Österreich","uni@aau.at","'+434632700",,"23.08.2020"
16,"GMPU","Gustav Mahler Privatuniversität für Musik","Bildung","Privatuniversität","Mießtalerstraße 8",9020,"Österreich","info@gmpu.ac.at","'+435053616552",,"24.08.2020"
17,"FH Kärnten","Fachhochschule Kärnten - Gemeinnützige Privatstiftung","Bildung","Fachhochschule","Villacher Straße 1",9800,"Österreich","info@fh-kaernten.at","'+43590500","'+435905009910","24.08.2020"
18,"PH Kärnten","Pädagogische Hochschule Kärnten","Bildung","Pädagogische Hochschule","Hubertusstraße 1",9020,"Österreich","office@ph-kaernten.ac.at","+43463508508",,"24.08.2020"
